id,bb_type,bb_name,city,area_code,log_report_type,priority,outage_duration,volume
1308,2,ADSL 2,Johannesburg,100,310,Medium,0,1
1308,2,ADSL 2,Johannesburg,100,308,Medium,0,1
3446,2,ADSL 2,Johannesburg,100,232,Medium,0,2
3446,2,ADSL 2,Johannesburg,100,227,Medium,0,11
3446,2,ADSL 2,Johannesburg,100,307,Medium,0,14
12650,2,ADSL 2,Johannesburg,100,312,Critical,0,1
12318,8,ADSL 1,Nairobi,1000,84,Medium,0,1
12318,8,ADSL 1,Nairobi,1000,167,Medium,0,1
12318,8,ADSL 1,Nairobi,1000,51,Medium,0,1
18076,2,ADSL 2,Nairobi,1000,134,Low,0,1
18076,2,ADSL 2,Nairobi,1000,167,Low,0,1
18076,2,ADSL 2,Nairobi,1000,84,Low,0,1
18076,2,ADSL 2,Nairobi,1000,51,Low,0,1
18076,2,ADSL 2,Nairobi,1000,205,Low,0,1
18076,2,ADSL 2,Nairobi,1000,219,Low,0,1
18076,8,ADSL 1,Nairobi,1000,134,Low,0,1
18076,8,ADSL 1,Nairobi,1000,167,Low,0,1
18076,8,ADSL 1,Nairobi,1000,84,Low,0,1
18076,8,ADSL 1,Nairobi,1000,51,Low,0,1
18076,8,ADSL 1,Nairobi,1000,205,Low,0,1
18076,8,ADSL 1,Nairobi,1000,219,Low,0,1
18413,2,ADSL 2,Casablanca,1002,219,Low,0,1
18413,2,ADSL 2,Casablanca,1002,134,Low,0,1
11231,8,ADSL 1,Addis Ababa,1006,182,Low,0,1
3112,8,ADSL 1,Addis Ababa,1006,54,Medium,0,5
3112,8,ADSL 1,Addis Ababa,1006,170,Medium,0,1
581,8,ADSL 1,Accra,1007,80,Medium,0,1
14743,8,ADSL 1,Accra,1007,80,Low,0,4
14743,8,ADSL 1,Accra,1007,201,Low,0,5
10445,8,ADSL 1,Accra,1007,201,Low,0,2
722,8,ADSL 1,Accra,1007,201,Low,0,2
722,8,ADSL 1,Accra,1007,80,Low,0,3
6208,8,ADSL 1,Accra,1007,201,Low,0,10
6208,8,ADSL 1,Accra,1007,80,Low,0,6
10319,8,ADSL 1,Accra,1007,80,Medium,0,1
10319,8,ADSL 1,Accra,1007,201,Medium,0,2
11444,8,ADSL 1,Accra,1007,80,Low,1,6
11444,8,ADSL 1,Accra,1007,201,Low,1,12
10516,2,ADSL 2,Accra,1007,183,Low,1,1
10516,8,ADSL 1,Accra,1007,183,Low,1,1
1349,8,ADSL 1,Accra,1007,201,Medium,0,1
1349,8,ADSL 1,Accra,1007,80,Medium,0,3
10816,8,ADSL 1,Accra,1007,201,Low,0,2
10816,8,ADSL 1,Accra,1007,80,Low,0,5
9644,8,ADSL 1,Accra,1007,201,Low,0,3
9644,8,ADSL 1,Accra,1007,80,Low,0,3
5545,8,ADSL 1,Accra,1007,201,Low,0,2
5545,8,ADSL 1,Accra,1007,80,Low,0,7
2008,8,ADSL 1,Accra,1007,201,Low,0,5
2008,8,ADSL 1,Accra,1007,80,Low,0,7
6253,8,ADSL 1,Accra,1007,201,Medium,0,6
6253,8,ADSL 1,Accra,1007,80,Medium,0,6
13838,8,ADSL 1,Accra,1007,80,Low,0,6
13838,8,ADSL 1,Accra,1007,201,Low,0,3
5074,8,ADSL 1,Accra,1007,80,Medium,0,4
10161,2,ADSL 2,Accra,1007,80,Low,0,1
10161,8,ADSL 1,Accra,1007,80,Low,0,1
12194,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,2
12194,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,4
12194,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,5
462,8,ADSL 1,Dar es Salaam,1008,71,Low,1,1
462,8,ADSL 1,Dar es Salaam,1008,80,Low,1,5
462,8,ADSL 1,Dar es Salaam,1008,193,Low,1,1
462,8,ADSL 1,Dar es Salaam,1008,82,Low,1,13
462,8,ADSL 1,Dar es Salaam,1008,203,Low,1,8
462,8,ADSL 1,Dar es Salaam,1008,201,Low,1,4
9907,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,1
9907,8,ADSL 1,Dar es Salaam,1008,201,Medium,0,1
9907,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,2
13354,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,14
13354,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,32
15801,8,ADSL 1,Dar es Salaam,1008,82,Low,2,24
15801,8,ADSL 1,Dar es Salaam,1008,203,Low,2,16
15801,8,ADSL 1,Dar es Salaam,1008,80,Low,2,3
6803,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,6
6803,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,1
8277,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,22
8277,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,14
608,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,13
608,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,2
608,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
11286,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,7
4630,8,ADSL 1,Dar es Salaam,1008,384,Medium,0,2
4630,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,2
4630,8,ADSL 1,Dar es Salaam,1008,71,Medium,0,4
4630,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,4
4630,8,ADSL 1,Dar es Salaam,1008,193,Medium,0,3
4630,8,ADSL 1,Dar es Salaam,1008,299,Medium,0,2
4309,8,ADSL 1,Dar es Salaam,1008,71,Medium,0,1
9059,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,6
4640,8,ADSL 1,Dar es Salaam,1008,201,Medium,2,1
4640,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,10
4640,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,4
4640,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,3
5254,8,ADSL 1,Dar es Salaam,1008,82,Low,0,4
5254,8,ADSL 1,Dar es Salaam,1008,201,Low,0,4
5254,8,ADSL 1,Dar es Salaam,1008,203,Low,0,4
5254,8,ADSL 1,Dar es Salaam,1008,80,Low,0,3
8106,8,ADSL 1,Dar es Salaam,1008,82,Low,2,48
8106,8,ADSL 1,Dar es Salaam,1008,80,Low,2,4
8106,8,ADSL 1,Dar es Salaam,1008,203,Low,2,25
8106,8,ADSL 1,Dar es Salaam,1008,201,Low,2,5
4535,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,21
4535,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,2
8831,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,57
8831,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,3
2214,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
2214,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,2
2214,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,10
13490,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,8
13490,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,6
9016,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,18
9016,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,20
11119,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,12
11119,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,4
18050,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,2
18050,8,ADSL 1,Dar es Salaam,1008,201,Medium,1,1
18050,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,10
665,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,6
665,8,ADSL 1,Dar es Salaam,1008,201,Medium,1,2
665,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,1
665,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,7
15057,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,40
15057,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,4
9879,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
9879,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,9
9879,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,3
10902,8,ADSL 1,Dar es Salaam,1008,82,Low,0,8
10902,8,ADSL 1,Dar es Salaam,1008,203,Low,0,6
3465,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,36
3465,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,28
821,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
821,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,33
821,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,1
17470,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,4
17470,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
17470,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,2
8366,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,6
8366,8,ADSL 1,Dar es Salaam,1008,201,Medium,1,5
8366,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,8
8366,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,6
7049,8,ADSL 1,Dar es Salaam,1008,80,Low,0,4
7049,8,ADSL 1,Dar es Salaam,1008,82,Low,0,14
7049,8,ADSL 1,Dar es Salaam,1008,201,Low,0,3
7049,8,ADSL 1,Dar es Salaam,1008,203,Low,0,10
6648,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,3
10511,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,29
10511,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,66
15085,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,25
15085,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,21
2425,8,ADSL 1,Dar es Salaam,1008,82,Low,1,2
2425,8,ADSL 1,Dar es Salaam,1008,201,Low,1,2
2425,8,ADSL 1,Dar es Salaam,1008,183,Low,1,1
2425,8,ADSL 1,Dar es Salaam,1008,63,Low,1,1
2425,8,ADSL 1,Dar es Salaam,1008,80,Low,1,7
4623,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,4
4623,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,1
4623,8,ADSL 1,Dar es Salaam,1008,201,Medium,1,1
4623,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,21
11766,8,ADSL 1,Dar es Salaam,1008,203,Low,0,23
11766,8,ADSL 1,Dar es Salaam,1008,201,Low,0,5
11766,8,ADSL 1,Dar es Salaam,1008,82,Low,0,26
11766,8,ADSL 1,Dar es Salaam,1008,80,Low,0,4
17414,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,1
17414,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,6
17414,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,21
8378,8,ADSL 1,Dar es Salaam,1008,82,Low,0,11
8378,8,ADSL 1,Dar es Salaam,1008,80,Low,0,7
8378,8,ADSL 1,Dar es Salaam,1008,201,Low,0,6
17745,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
200,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,4
200,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,5
200,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,9
5961,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,8
5961,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,6
5961,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,56
15381,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,29
15381,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,4
15381,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,60
13955,8,ADSL 1,Dar es Salaam,1008,80,Low,0,6
13955,8,ADSL 1,Dar es Salaam,1008,203,Low,0,23
13955,8,ADSL 1,Dar es Salaam,1008,82,Low,0,55
13955,8,ADSL 1,Dar es Salaam,1008,201,Low,0,5
11005,8,ADSL 1,Dar es Salaam,1008,201,Low,0,2
11005,8,ADSL 1,Dar es Salaam,1008,80,Low,0,1
11005,8,ADSL 1,Dar es Salaam,1008,82,Low,0,26
11005,8,ADSL 1,Dar es Salaam,1008,203,Low,0,7
11100,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,15
11100,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,7
1666,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,1
13832,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,1
13832,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,12
13832,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,1
15102,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,15
15102,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,7
15102,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,3
1574,8,ADSL 1,Dar es Salaam,1008,203,Low,0,3
1574,8,ADSL 1,Dar es Salaam,1008,201,Low,0,2
1574,8,ADSL 1,Dar es Salaam,1008,80,Low,0,2
1574,8,ADSL 1,Dar es Salaam,1008,82,Low,0,10
7585,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,1
7585,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,6
18058,8,ADSL 1,Dar es Salaam,1008,172,Medium,0,1
18058,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,24
18058,8,ADSL 1,Dar es Salaam,1008,203,Medium,0,15
18058,8,ADSL 1,Dar es Salaam,1008,56,Medium,0,1
7851,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,56
7851,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,16
7851,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,5
7851,8,ADSL 1,Dar es Salaam,1008,201,Medium,2,3
12276,8,ADSL 1,Dar es Salaam,1008,80,Medium,1,2
12276,8,ADSL 1,Dar es Salaam,1008,201,Medium,1,2
12276,8,ADSL 1,Dar es Salaam,1008,82,Medium,1,8
12276,8,ADSL 1,Dar es Salaam,1008,203,Medium,1,5
12276,8,ADSL 1,Dar es Salaam,1008,71,Medium,1,1
5928,8,ADSL 1,Dar es Salaam,1008,203,Low,2,4
5928,8,ADSL 1,Dar es Salaam,1008,201,Low,2,3
5928,8,ADSL 1,Dar es Salaam,1008,82,Low,2,6
5928,8,ADSL 1,Dar es Salaam,1008,80,Low,2,4
18490,8,ADSL 1,Dar es Salaam,1008,82,Medium,0,14
18490,8,ADSL 1,Dar es Salaam,1008,80,Medium,0,3
11037,8,ADSL 1,Dar es Salaam,1008,80,Medium,2,2
11037,8,ADSL 1,Dar es Salaam,1008,201,Medium,2,2
11037,8,ADSL 1,Dar es Salaam,1008,82,Medium,2,4
11037,8,ADSL 1,Dar es Salaam,1008,203,Medium,2,4
16514,9,BPL,Algiers,1009,133,Severe,0,1
12828,8,ADSL 1,Algiers,1009,195,Low,0,1
2865,8,ADSL 1,Algiers,1009,73,Low,0,1
2865,8,ADSL 1,Algiers,1009,195,Low,0,2
13453,8,ADSL 1,Algiers,1009,73,Low,0,1
12944,8,ADSL 1,Kampala,1010,195,Medium,0,1
12944,8,ADSL 1,Kampala,1010,73,Medium,0,4
7409,8,ADSL 1,Kampala,1010,195,Low,1,3
7409,8,ADSL 1,Kampala,1010,73,Low,1,3
8193,8,ADSL 1,Kampala,1010,195,Low,1,5
8193,8,ADSL 1,Kampala,1010,73,Low,1,4
5559,8,ADSL 1,Kampala,1010,73,Low,0,24
5559,8,ADSL 1,Kampala,1010,195,Low,0,25
11313,8,ADSL 1,Kampala,1010,195,Low,1,1
11313,8,ADSL 1,Kampala,1010,73,Low,1,1
487,8,ADSL 1,Kampala,1010,73,Low,0,35
487,8,ADSL 1,Kampala,1010,195,Low,0,29
487,8,ADSL 1,Kampala,1010,109,Low,0,3
8263,8,ADSL 1,Kampala,1010,73,Medium,1,13
8263,8,ADSL 1,Kampala,1010,195,Medium,1,8
7503,8,ADSL 1,Kampala,1010,157,Low,1,5
7503,8,ADSL 1,Kampala,1010,73,Low,1,2
7503,8,ADSL 1,Kampala,1010,42,Low,1,5
16468,8,ADSL 1,Kampala,1010,73,Medium,0,2
16468,8,ADSL 1,Kampala,1010,195,Medium,0,1
14462,8,ADSL 1,Kampala,1010,42,Low,0,2
14462,8,ADSL 1,Kampala,1010,73,Low,0,2
15555,8,ADSL 1,Kampala,1010,195,Medium,0,3
15555,8,ADSL 1,Kampala,1010,73,Medium,0,8
7818,8,ADSL 1,Kampala,1010,73,Low,0,1
7818,8,ADSL 1,Kampala,1010,195,Low,0,2
12978,8,ADSL 1,Kampala,1010,73,Low,0,9
12978,8,ADSL 1,Kampala,1010,195,Low,0,6
2734,8,ADSL 1,Kampala,1010,73,Low,0,5
2734,8,ADSL 1,Kampala,1010,195,Low,0,2
11826,8,ADSL 1,Kampala,1010,195,Low,0,2
11826,8,ADSL 1,Kampala,1010,73,Low,0,2
3765,8,ADSL 1,Kampala,1010,73,Medium,0,5
13273,8,ADSL 1,Kampala,1010,195,Medium,1,2
13273,8,ADSL 1,Kampala,1010,73,Medium,1,4
2854,9,BPL,Luanda,1011,218,Severe,1,1
2854,9,BPL,Luanda,1011,133,Severe,1,1
13067,8,ADSL 1,Luanda,1011,74,Low,2,6
13067,8,ADSL 1,Luanda,1011,196,Low,2,6
6715,8,ADSL 1,Luanda,1011,74,Low,1,1
6715,8,ADSL 1,Luanda,1011,196,Low,1,1
10844,8,ADSL 1,Luanda,1011,196,Low,1,6
10844,8,ADSL 1,Luanda,1011,74,Low,1,5
5029,2,ADSL 2,Luanda,1011,134,Low,0,1
5029,2,ADSL 2,Luanda,1011,219,Low,0,1
13480,8,ADSL 1,Luanda,1011,74,Low,1,7
13480,8,ADSL 1,Luanda,1011,196,Low,1,7
11976,2,ADSL 2,Harare,1013,80,Low,0,2
11976,2,ADSL 2,Harare,1013,134,Low,0,1
11976,2,ADSL 2,Harare,1013,201,Low,0,3
11976,2,ADSL 2,Harare,1013,219,Low,0,1
11976,8,ADSL 1,Harare,1013,80,Low,0,2
11976,8,ADSL 1,Harare,1013,134,Low,0,1
11976,8,ADSL 1,Harare,1013,201,Low,0,3
11976,8,ADSL 1,Harare,1013,219,Low,0,1
4740,6,ADSL 2+,Dakar,1014,345,Low,1,3
4740,6,ADSL 2+,Dakar,1014,273,Low,1,3
16781,6,ADSL 2+,Dakar,1014,170,Low,1,3
16781,6,ADSL 2+,Dakar,1014,54,Low,1,2
16781,6,ADSL 2+,Dakar,1014,273,Low,1,2
16781,8,ADSL 1,Dakar,1014,170,Low,1,3
16781,8,ADSL 1,Dakar,1014,54,Low,1,2
16781,8,ADSL 1,Dakar,1014,273,Low,1,2
6932,8,ADSL 1,Dakar,1014,273,Low,0,2
6932,8,ADSL 1,Dakar,1014,68,Low,0,3
6932,6,ADSL 2+,Dakar,1014,273,Low,0,2
6932,6,ADSL 2+,Dakar,1014,68,Low,0,3
18399,8,ADSL 1,Dakar,1014,170,Low,2,3
18399,8,ADSL 1,Dakar,1014,179,Low,2,4
18399,8,ADSL 1,Dakar,1014,273,Low,2,1
18399,8,ADSL 1,Dakar,1014,345,Low,2,3
18399,8,ADSL 1,Dakar,1014,68,Low,2,4
18399,8,ADSL 1,Dakar,1014,54,Low,2,10
18399,6,ADSL 2+,Dakar,1014,170,Low,2,3
18399,6,ADSL 2+,Dakar,1014,179,Low,2,4
18399,6,ADSL 2+,Dakar,1014,273,Low,2,1
18399,6,ADSL 2+,Dakar,1014,345,Low,2,3
18399,6,ADSL 2+,Dakar,1014,68,Low,2,4
18399,6,ADSL 2+,Dakar,1014,54,Low,2,10
17071,7,Cable,Dakar,1014,306,Critical,0,1
17071,7,Cable,Dakar,1014,223,Critical,0,1
4941,4,Fiber 1,Dakar,1014,68,Medium,1,1
4941,4,Fiber 1,Dakar,1014,170,Medium,1,1
4941,8,ADSL 1,Dakar,1014,68,Medium,1,1
4941,8,ADSL 1,Dakar,1014,170,Medium,1,1
9787,8,ADSL 1,Dakar,1014,54,Low,1,2
9787,8,ADSL 1,Dakar,1014,87,Low,1,3
9787,8,ADSL 1,Dakar,1014,209,Low,1,5
9787,8,ADSL 1,Dakar,1014,345,Low,1,3
9787,8,ADSL 1,Dakar,1014,273,Low,1,2
9787,4,Fiber 1,Dakar,1014,54,Low,1,2
9787,4,Fiber 1,Dakar,1014,87,Low,1,3
9787,4,Fiber 1,Dakar,1014,209,Low,1,5
9787,4,Fiber 1,Dakar,1014,345,Low,1,3
9787,4,Fiber 1,Dakar,1014,273,Low,1,2
9787,6,ADSL 2+,Dakar,1014,54,Low,1,2
9787,6,ADSL 2+,Dakar,1014,87,Low,1,3
9787,6,ADSL 2+,Dakar,1014,209,Low,1,5
9787,6,ADSL 2+,Dakar,1014,345,Low,1,3
9787,6,ADSL 2+,Dakar,1014,273,Low,1,2
8036,6,ADSL 2+,Dakar,1014,345,Low,0,1
8036,6,ADSL 2+,Dakar,1014,273,Low,0,1
2184,6,ADSL 2+,Dakar,1014,345,Low,0,1
2184,6,ADSL 2+,Dakar,1014,68,Low,0,2
2184,6,ADSL 2+,Dakar,1014,170,Low,0,8
2184,6,ADSL 2+,Dakar,1014,179,Low,0,2
2184,6,ADSL 2+,Dakar,1014,273,Low,0,2
2184,6,ADSL 2+,Dakar,1014,222,Low,0,2
2184,6,ADSL 2+,Dakar,1014,304,Low,0,2
2184,6,ADSL 2+,Dakar,1014,54,Low,0,8
2184,8,ADSL 1,Dakar,1014,345,Low,0,1
2184,8,ADSL 1,Dakar,1014,68,Low,0,2
2184,8,ADSL 1,Dakar,1014,170,Low,0,8
2184,8,ADSL 1,Dakar,1014,179,Low,0,2
2184,8,ADSL 1,Dakar,1014,273,Low,0,2
2184,8,ADSL 1,Dakar,1014,222,Low,0,2
